gene_name	WP3_D12_1	WP3_D12_2	WP3_D16_1	WP3_D16_2	PKD_10_D12_1	PKD_10_D12_2	PKD_10_D16_1	PKD_10_D16_2	PKD_11_D12_1	PKD_11_D12_2	PKD_11_D16_1	PKD_11_D16_2
MRPS33	709.531	720.768	643.81	677.592	634.961	736.631	772.918	760.748	690.471	729.071	739.406	732.114
NDUFB2	777.971	746.229	673.65	742.401	687.383	726.547	765.174	721.463	726.884	615.156	653.894	729.167
NUDC	2154.71	2135.61	2012.65	1874.07	1588.43	1817.71	1444.5	1381.21	1831.53	1932.87	1240.29	1259.57
MAEA	1303.44	1348.11	1555.97	1426.46	1498.01	1466.32	1417.67	1593.51	1484.52	1405.8	1459.73	1423.3
ICAM1	234.187	268.064	536.705	275.48	1469.87	1510.88	651.715	360.986	833.711	919.89	519.969	500.552
STRN4	1435.7	1420.4	1442.98	1412.2	1631.58	1472.4	1402.77	1545.5	1428.75	1446.2	1482.39	1604.57
IRAK3	19.7972	5.56148	2.35397	3.80136	3.08233	8.67645	0.993468	0.923238	1.77044	3.6729	3.57777	7.01708
LYZ	60.1834	80.0854	23.5397	38.0136	34.3056	37.3087	9.93468	2.76971	16.8192	18.3645	16.6963	9.3561
MUL1	886.913	806.415	863.906	958.894	858.943	856.366	1116.66	1178.97	911.776	786.919	1053.06	1050.22
TFAP4	159.961	147.936	134.176	142.551	106.854	141.426	92.3926	132.023	146.947	135.897	134.763	126.307
PDCD7	744.373	783.057	609.678	645.281	778.802	740.969	737.153	562.252	683.39	800.693	734.636	761.353
SPG21	1849.84	1827.5	2182.14	2231.39	1765.14	2011.18	2017.73	2177.89	1988.23	1923.67	2011.92	2031.45
DNAJB11	1938.21	2588.02	1674.85	1561.24	2025.08	2135.24	1359.26	1421.77	1681.02	2089.86	1194.85	1261.91
P3H2	516.311	525.004	739.142	547.395	547.628	447.704	1176.26	1092.19	810.863	641.838	1401.29	1226.82
FLT3LG	6.33509	3.33689	14.0374	5.70204	0	2.80142	0	0.923238	1.77044	0.920177	1.19259	8.377
RAB11FIP3	1452.32	1532.74	1412.37	1447.37	2043.61	2016.4	1604.45	1895.39	1912.98	1875.93	1595.68	1583.52
GNPTG	667.457	664.379	707.89	718.039	859.593	790.815	787.491	819.493	718.015	651.189	656.338	741.253
ZNF268	878.203	808.64	789.755	796.387	1039.78	953.539	953.73	985.096	1005.61	1032.09	887.285	906.37
GOLGA3	1853.22	2033.26	2889.5	2476.58	2089.27	2057.62	2201.51	2514.31	2164.36	2168.82	2287.47	2313.44
PABPC4	5947.1	5762.75	6887.68	7215.05	5412.58	5291.78	6101.88	7775.5	5652.16	5547.03	6433.9	6299.01
CERS4	863.153	866.48	1131.08	1234.5	1658.3	1579.11	1128.58	1274.99	1261.44	1332.34	948.112	1141.44
MCOLN1	242.317	266.952	235.397	218.578	203.434	229.926	242.406	268.662	217.764	207.519	189.622	199.987
USP48	2227.57	2259.07	2138.59	2074.59	1833.99	1920.96	1522.99	1753.22	1998.84	2071.52	1672.01	1634.98
EFNB1	1126.85	1104.51	887.446	849.605	1390.13	1135.75	875.245	789.368	1234.88	1211.14	945.724	959
PDPR	1334.84	1240.33	1458.25	1367.19	1294.87	1266.19	1959.96	1889.45	1520.26	1288.81	1992.95	1951.33
AARS1	3193.68	3439.23	3104.9	2470.9	2594.3	2561.29	3036.05	3518.47	2866.34	2787.73	3439.42	3671.1
GLG1	4307.84	4155.56	5146.96	5258.19	5189.55	5592.88	6676.18	6350.02	5601.65	5482.61	7067.27	6597.22
KIF4A	1158.53	1006.63	567.306	618.672	127.403	146.632	261.282	133.869	69.0471	71.6216	180.081	140.342
TNRC6A	1512.51	1511.61	1572.46	1517.69	1570.97	1730.06	1618.35	1567.66	1889.97	1968.67	1668.43	1707.49
PLEKHG2	897.999	880.94	843.899	798.286	1408.63	1516.64	799.742	764.44	1346.42	1462.73	1044.71	995.259
NAT14	603.417	486.074	652.049	665.238	668.865	694.983	846.435	678.58	771.026	683.16	799.035	863.1
PITPNM2	528.188	572.833	477.855	451.412	580.507	714.072	541.439	620.418	610.803	622.555	579.599	622.181
EXOC1	1026.27	1095.6	978.025	1140.38	968.825	1085.42	868.271	998.018	1076.42	1021.97	847.929	816.318
RBM27	1790.09	1845.32	1826.28	1913.13	1821.84	1733.31	1607.23	1830.31	2066.82	1797.13	1580.68	1636.97
OSBPL8	3241.99	3131.11	2784.75	2857.64	3086.42	2678.42	3022.16	3575.72	3166.45	3202.77	2967.2	2866.48
DTX2	334.483	313.8	358.602	432.62	354.59	359.836	268.041	276.651	276.33	309.41	248.194	331.977
PUS7	393.568	392.64	442.546	365.881	274.327	294.132	281.152	317.593	269.107	344.335	259.985	283.022
LAMB4	48.3051	30.032	15.3008	0.950341	43.1526	62.4705	48.6799	32.3133	13.2783	8.26403	28.6222	19.8817
NRCAM	798.223	710.755	692.069	595.862	947.303	1043.78	827.562	1077.42	1012.69	1006.38	949.3	894.678
LAMB1	16512.2	16626.5	11323.8	10469	19545.9	19751.2	18212.3	12622	16278.3	16812.5	17658.7	17617.6
DLD	4030.56	3599.37	3376.77	3672.07	3522.06	3490.55	3785.1	4148.83	3468.28	3274.38	3298.69	3159.81
WDR7	673.891	649.578	721.494	685.193	638.042	628.174	641.781	735.815	585.132	671.228	659.504	597.417
TXNL1	1480.04	1612.83	1498.3	1555.7	1569.93	1434.22	1490.2	1518.73	1516.37	1478.34	1536.06	1398.73
IL5RA	15.0458	23.3582	16.4778	5.70204	44.1801	30.3676	11.9216	9.23238	26.5566	5.50935	3.57777	0
ABCC6	7.91886	4.44919	11.8767	8.55307	6.16466	19.6594	21.8563	15.9966	17.1068	8.73705	11.9259	7.01708
CMTM6	5394.3	5646.02	5248.16	5731.5	6615.7	6560.08	5389.5	5637.28	5809.7	6203.47	4803.61	4824.09
ITGA6	1891.03	1840.85	1148.73	721.31	1678.86	1722.26	957.701	785.675	2240.49	2077.02	977.922	941.455
RAPGEF4	15.8377	24.4705	2.35397	16.1558	14.3842	13.8823	16.889	3.69295	7.08176	11.0187	9.54072	12.8646
MAP3K20	775.257	818.65	447.254	463.766	401.731	396.514	397.387	198.496	403.66	530.734	354.199	421.025
FH	1685.12	1608.38	1368.83	1317.17	1141.49	1078.48	1307.41	1291.61	1084.39	1027.49	1099.56	1059.58
SEL1L3	1133.98	1062.24	876.854	764.069	424.334	437.292	409.308	300.976	523.163	622.556	735.828	752
TF	2.37566	4.44919	2.35397	4.7517	6.16466	16.4853	9.93468	12.0021	8.8522	9.18226	21.4666	26.8988
CDV3	6878.27	7041.83	8423.58	6661.84	7961.69	7688.06	8847.95	9110.85	8584.91	8696.65	7560.95	7783.22
MYO15A	8.71075	7.78608	12.9468	3.80136	2.05489	12.147	10.9281	9.23238	9.73742	6.42758	31.0074	18.7122
ALKBH5	1594.07	1690.7	1538.31	1589.92	1502.09	1427.28	1405.69	1625.8	1459.72	1466.41	1569.43	1453.66
PITPNM3	70.4779	60.064	64.7341	52.2687	77.0583	54.6616	77.4905	47.0851	60.1949	78.0492	67.9777	92.3915
SPAG7	551.947	533.904	666.174	720.361	593.861	603.882	788.812	725.662	665.684	615.213	679.776	762.52
ORC6	619.255	588.407	383.697	247.088	142.815	157.044	148.027	107.096	119.505	189.155	184.852	146.189
ZFHX4	310.42	293.646	334.263	301.257	350.359	292.397	687.481	526.246	412.513	307.605	644.001	432.719
ZC3HC1	355.558	295.871	261.29	230.933	318.507	392.176	271.217	285.281	275.303	321.379	281.451	251.445
ESR1	14.254	8.89837	7.0619	6.65238	1.02744	10.4117	2.9804	1.84648	1.77044	6.42758	2.38518	11.6951
RGS17	95.0263	114.567	116.522	290.804	70.8936	127.544	80.4709	89.5541	88.5219	94.5772	116.874	67.8317
ANGPT2	19.0053	21.1336	31.7786	20.9075	125.348	132.75	75.5036	64.6267	111.538	135.897	65.5925	29.2378
TMEM101	701.611	651.806	521.404	590.164	715.1	789.556	497.727	486.545	569.195	638.169	530.702	511.078
CD200	12.6702	16.6845	60.0262	38.0136	316.453	242.941	288.106	336.982	262.025	255.267	280.259	278.344
CCDC80	53.0564	40.0427	128.291	76.0273	71.9211	92.838	239.426	96.0167	107.997	102.841	239.711	232.733
PSME1	1894.98	2001.02	2225.67	2086.93	1485.68	1459.38	1708.76	1605.5	1481.86	1588.53	1724.49	1836.13
PPP2R3C	266.866	265.839	315.432	280.351	303.096	324.499	269.23	289.897	316.023	336.989	294.451	246.767
HAUS4	406.983	420.447	340.149	320.265	268.163	209.102	276.184	232.656	198.289	250.675	355.392	337.989
SLC7A8	977.187	1055.58	854.489	1050.13	1330.54	1274.58	1875.67	1795.69	1510.18	1509.57	1351.21	1218.63
OSGEP	399.903	394.865	407.236	333.569	289.739	314.955	320.89	293.59	322.22	349.844	401.903	430.381
SLC22A17	384.857	363.721	311.9	280.351	526.052	576.115	575.217	538.248	467.395	489.415	539.051	527.45
RNF31	561.45	549.48	712.012	667.949	638.567	739.238	670.705	557.781	571.225	639.789	666.276	697.618
SCFD1	1038.16	934.33	965.127	1072.93	897.987	992.587	1072.95	1178.05	1154.33	1113.81	1005.35	977.713
G2E3	828.314	876.491	775.632	784.032	760.308	610.821	627.873	566.867	572.738	607.864	565.288	513.416
HECTD1	9091.18	9146.79	9606.42	9207.72	7910.68	7795.82	7684.5	8803.04	8290.19	8037.21	7218.74	6734.08
HNRNPC	13582.7	13707.9	13238.6	13974.6	12669.4	15301.8	11438.7	11241.4	15845.3	16538.9	11011.1	10994.4
SUPT16H	7020.76	6823.88	4493.65	4705.07	4596.78	4637.63	4149.65	4281.01	4572.11	4591.97	3947.44	4079.3
TOX4	1632.36	1508.59	1490.07	1614.87	1569.63	1628.51	1397.82	1565.31	1623.85	1664.75	1292.77	1411.6
GEMIN2	283.495	278.074	215.388	153.955	217.818	248.146	140.079	110.788	201.83	207.519	165.77	133.324
TGM1	5.5432	10.0107	5.88492	8.55307	7.19211	8.67645	18.8759	7.3859	9.73742	9.18226	16.6963	14.0342
TINF2	608.036	597.55	691.294	599.99	613.362	573.953	644.894	526.326	521.467	571.491	527.619	680.479
TBL1Y	70.4779	45.6042	57.6722	41.815	118.156	104.985	75.5036	63.7034	135.439	107.432	106.141	63.1537
SEMA6A	447.416	365.946	395.467	274.648	1449.72	1433.36	1125.58	1030.33	1181.74	966.889	791.88	841.942
TRPM7	2164.26	2055.51	2073.85	1955.4	2303.5	1908.82	2897.96	2969.16	2280.33	2274.41	2256.36	2263.02
TYRO3	327.841	310.331	393.112	504.631	315.426	301.94	399.374	424.689	323.99	350.763	369.702	436.229
WDR76	870.281	819.762	287.184	287.953	157.199	216.911	109.282	93.247	133.668	153.344	127.607	102.917
CAPN3	21.452	16.4197	41.7873	28.0722	47.7824	25.895	43.9338	48.6779	43.2067	20.7014	45.3881	53.4032
SNAP23	1927.45	2076.44	2305.69	2527.65	1936.53	1982.44	2200.6	2119.81	2004.95	2253.57	2110.47	2008.08
PHGDH	4876.45	4720.57	3594.51	2906.13	4281.33	4201.07	3755.31	3468.62	4049.93	3776.68	4358.91	4936.51
COL9A3	17.4215	18.909	24.7167	25.6592	17.4665	16.4853	24.8367	24.0042	18.5896	23.8739	16.6963	19.8817
EZR	10465.2	10745.2	12461.7	14604.2	10627.6	10621	10832.8	11392.8	12209	11437.1	13174.6	13441
MYL6	8138.55	8124.36	11313.6	11457	7903.77	9300.19	10949.2	10261.4	11883.2	11141.3	8886.28	9225.34
AGO1	1713.64	1795.25	1628.95	1645.04	2038.45	2263.68	1673	1563.97	2388.33	2364.43	1650.54	1596.38
TEKT2	52.2645	52.278	69.442	35.1626	92.4699	110.191	63.582	33.2366	98.2594	78.9674	70.3629	57.3061
CLSPN	1788.89	1715.16	757.977	603.464	292.821	380.029	226.511	147.718	223.961	217.619	178.889	163.732
RFFL	790.682	801.007	815.909	896.34	751.493	776.304	658.599	670.144	820.422	860.178	619.349	683.701
UNC13D	161.545	203.55	648.518	670.939	97.6071	102.382	328.838	336.058	146.946	138.652	329.155	318.107
MFSD11	515.148	427.704	515.893	471.05	474.392	417.954	501.24	530.514	414.838	385.184	518.486	523.017
DPYSL2	655.685	667.379	250.697	241.387	392.484	385.236	313.935	218.808	478.903	473.803	319.614	266.649
TGFB2	93.2905	122.693	267.773	226.703	40.5547	21.2605	374.693	204.842	201.275	114.799	713.463	642.198
GPATCH2	744.373	714.095	707.366	688.997	808.598	883.262	824.578	762.594	916.201	898.943	689.318	787.081
NUP50	3150.93	3328.02	3136.65	2990.76	2345.66	2588.19	2560.18	2807.59	2730.01	2752.85	2311.06	2308.54
CDC45	618.462	512.769	197.733	183.416	128.43	105.853	75.5036	34.1598	55.7688	77.131	71.5555	73.6793
COMT	2624.32	2493.76	2112.69	2530.74	1783.63	1770.86	1983.95	2254.55	1374.74	1309.39	1816.31	1521.54
ADA2	505.224	483.851	309.547	339.271	84.2503	111.926	66.5624	86.7843	271.763	247.002	313.651	270.157
ENSG00000093100	25.5211	53.9861	41.7081	56.6309	52.5032	61.7957	40.0241	26.1696	40.4825	90.2463	48.6261	30.2495
ECHDC1	1918.75	1629.51	1741.93	2007.13	1344.92	1342.25	1352.11	1306.38	1599.59	1392.03	1153.24	1102.85
LRRFIP2	770.504	720.769	757.979	653.835	591.807	623.836	652.708	727.511	625.851	612.457	676.199	608.147
SEC22C	799.013	725.217	677.942	654.785	757.224	747.908	738.147	737.668	826.798	782.33	722.712	658.436
XYLB	95.0264	105.668	49.4333	60.8218	24.6586	39.044	23.8432	24.9274	27.4418	8.26403	16.6963	17.5427
HDAC6	1306.61	1322.52	1259.37	1154.66	1416.84	1371.75	1273.63	1075.57	1383.6	1344.28	1400.1	1415.11
GABRP	344.47	300.32	1213.48	1125.2	26.7135	43.3823	197.7	115.405	23.0157	47.7477	96.5999	97.0695
CDC6	1870.44	1883.13	774.455	768.828	381.182	406.058	299.034	144.025	286.812	329.643	188.429	217.529
UPRT	377.73	354.822	288.361	349.725	396.593	382.631	319.897	344.368	408.972	383.818	345.851	286.53
CDC23	1652.67	1712.94	1339.41	1356.14	1421.98	1417.73	1261.7	1150.35	1443.8	1477.42	1174.7	1189.39
AAAS	573.326	536.127	566.129	496.078	532.216	557.029	445.073	495.779	502.805	516.961	537.858	570.721
CBX5	15809.8	15523.4	9134.57	8574.88	10524	10234.6	8821.93	7921.51	11260	11417.9	8707.05	7787.88
SUCO	2742.32	2885.3	3340.23	2850.02	3331.01	3249.26	3351.96	3085.42	3227.54	3123.81	3279.63	3106.24
MSH2	3079.4	2799.95	1702.59	1535.05	2014.78	2015.19	1586.97	1293.97	1867.04	1842.09	1411.17	1332.95
MAP3K1	2931.52	3104.46	5266.95	4394.38	4396.38	3874.1	5024.05	4750.9	4526.22	4485.58	4710.68	3917.91
DHPS	527.098	614.817	514.116	531.105	455.948	431.141	422.821	436.882	419.985	406.449	519.98	530.045
HOOK2	911.465	961.024	1028.68	930.381	913.398	1020.35	964.655	894.617	869.285	917.331	820.502	898.209
ARCN1	4171.62	4542.8	5091.81	4648.05	4254.65	4135.96	4453.89	4963.61	4598.74	4346.98	4189.46	4021.94
EPB41L4B	1213.16	1174.59	1140.49	1273.46	1294.58	1258.09	1021.29	1466.1	1106.53	1111.97	991.044	927.424
TMEM38B	1075.39	1039.99	561.424	675.697	992.507	831.208	975.596	1127.27	663.031	607.869	882.514	879.479
PSMD5	949.475	974.372	746.208	835.35	1402.46	1261.56	1189.18	1361.78	1218.06	1279.08	975.539	943.797
PTGS1	7.12698	24.4705	336.618	214.777	26.7135	8.67645	110.275	95.0935	17.7044	44.9931	134.763	72.5098
NUP188	1995.57	1835.29	1458.29	1272.51	1400.4	1346.58	1050.09	1017.41	1248.16	1219.4	1044.71	1056.07
CRAT	155.21	159.058	273.06	289.854	79.1131	87.6321	146.04	231.733	55.7688	84.4768	157.422	212.851
NANS	650.137	701.821	703.837	810.64	415.086	464.191	462.956	400.685	355.858	337.907	426.947	457.279
TBC1D2	483.844	473.838	596.73	638.629	371.934	365.278	732.186	770.902	453.232	356.271	818.117	753.166
WHRN	296.165	325.903	261.29	245.188	559.956	579.587	395.4	360.986	465.626	449.93	493.732	491.195
CWF19L1	478.299	529.453	358.98	377.285	372.962	415.602	315.923	374.834	405.43	403.102	327.962	367.227
SEMA4G	401.487	369.283	568.349	663.042	514.38	496.964	1186.88	979.009	521.395	447.963	972.767	912.22
BTAF1	1576.65	1588.36	1771.36	1473.98	1561.72	1682.37	1615.38	1609.2	1686.35	1710.66	1699.45	1663.05
IKZF5	358.726	321.454	464.907	383.937	403.786	340.118	423.219	489.314	341.696	389.327	435.297	495.872
BLNK	2212.53	1924.27	2574.82	2411.86	2829.58	2617.27	3760.67	3679.5	2827.36	2833.32	3943.72	4084.8
CYP26A1	1.48605	7.46813	0.00725407	6.63349	2.19E-09	0.0832899	13.0119	0.923238	0.000630248	9.14926	10.7067	1.67075
SORBS1	1807.09	1807.47	1136.97	1045.38	567.15	642.056	325.857	324.057	705.519	787.841	329.155	272.496
CRTAC1	9.50263	13.3476	0	5.70204	31.8508	15.6176	30.7975	19.388	52.228	39.4837	17.8889	4.67805
BAMBI	89.4832	78.9731	58.8492	46.5667	47.2624	61.6028	30.7975	11.0789	53.9984	31.2197	28.6222	54.9671
IL11	6.33509	24.4705	9.41587	3.80136	13.3568	21.6911	5.96081	0.923238	32.7531	26.6285	1.19259	9.3561
MYO3A	334.176	312.556	78.8579	107.389	32.8782	29.4999	43.7126	33.2366	23.0157	29.3832	42.9333	35.0854
WAC	3783.95	3664.41	3787.93	3889.81	4015.48	4231.25	3802.95	4489.69	3932.22	4161.9	3842.51	3918.24
CREM	619.255	656.086	422.537	429.554	559.957	614.293	414.276	396.992	579.819	541.753	435.295	516.924
NUBP2	478.299	494.972	460.201	495.128	473.651	460.72	473.885	403.454	428.446	446.257	391.17	525.112
TPSD1	15.0458	11.123	4.70794	2.00117	3.08233	6.07352	2.9804	7.3859	15.2666	33.0561	3.57777	7.01708
SMIM24	60.1834	68.9624	141.238	142.551	47.2624	45.1176	288.106	288.973	70.8176	44.0748	114.489	152.037
HIVEP1	753.089	809.754	996.908	904.732	955.516	904.094	965.653	1050.65	880.789	955.875	1037.56	955.488
CRISP3	19.0053	15.5722	12.9468	10.4537	2.05489	2.60294	1.98694	1.84648	0.88522	6.42758	0	1.16951
FKBP5	386.439	310.33	144.769	126.395	88.3601	150.97	70.5362	32.3133	99.1446	62.4393	64.3999	47.95
SRPK1	4044.41	4013.42	3927.22	4357.58	3465.35	3547.34	2719.73	3204.1	3794.13	3664.28	2819.7	2945.97
BRPF3	1703.35	1719.62	1733.7	1634.59	2049.78	2007.71	1842.86	1814.17	2024.52	1952.16	1666.05	1779.99
MRPS18A	541.291	602.724	542.204	581.409	561.095	573.16	478.661	468.893	461.844	438.387	437.537	429.065
TMEM14A	392.776	369.283	238.928	283.202	274.327	255.955	346.72	296.359	262.91	266.285	300.533	285.361
EFHC1	453.751	518.33	411.944	366.831	544.545	534.47	684.499	521.629	490.412	447.176	670.236	714.572
HSP90AB1	39365.2	47084.4	34190.3	33955.1	39718.7	38406.9	23281.6	25381.8	32699.5	39442.1	23056.4	23506.5
CDC5L	2100.87	2059.97	1818.44	1965.3	2048.72	2072.8	2061.45	2064.36	1989.09	2106.41	1928.42	1801.05
ITPR3	4454.56	4321.54	4569.7	4269.13	2728.39	2770.84	2660.87	3084.83	2789.11	2824.73	2950.12	3145.43
ZNF184	611.339	605.091	421.359	422.9	590.782	491.953	358.643	360.986	535.555	544.508	392.362	328.633
DSP	8189.28	7968.59	8294.46	7591	12585.4	13218.1	10458.8	10848.7	13180.9	13144.9	10798.2	10883.7
SIRT1	918.588	983.274	840.362	891.413	921.613	876.325	1100.75	1198.37	1040.12	943.937	1026.82	923.918
HNRNPH3	5281.76	5339	4639.66	4865.76	5013.05	5852.14	4377.3	4118.54	5922.89	6587.45	4420.92	4151.79
IFT74	624.798	611.763	566.128	516.036	606.192	600.41	628.865	545.634	636.472	538.999	536.666	547.332
JAK2	439.497	453.817	389.581	370.633	274.327	325.368	399.374	386.837	342.58	358.109	290.992	326.294
ABL1	2190.36	2071.07	1688.99	1733.43	2174.08	2124	1799.17	1576.89	2234.33	2331.37	1878.33	1831.46
ACOT7	870.23	735.228	527.288	469.468	401.731	470.263	219.556	292.667	393.922	403.101	319.614	233.903
SH3GLB1	2375.6	2432.61	2590.51	2783.55	2389.88	2207.29	2348.52	2527.83	2320.14	2292.8	2754.94	2516.8
CDC7	471.964	446.031	165.955	192.919	203.434	202.162	148.027	120.944	176.158	228.638	156.229	129.816
SYDE2	292.999	251.379	274.237	319.314	394.538	268.97	415.269	318.517	408.086	416.875	338.696	391.787
PCSK5	490.178	422.673	245.99	214.777	191.104	224.72	164.916	159.72	249.632	208.437	325.577	180.105
SCD	15262	15544.3	23853.9	20499.8	8411.68	9101.6	4557.04	5040.88	9770.17	9725.85	4480.56	3340.13
TMED1	360.641	314.121	242.787	342.376	378.609	358.759	448.24	350.193	390.774	305.022	467.788	394.796
ABLIM1	2330.53	2334.71	2449.29	2281.75	1795.97	1791.7	2275.03	2153	2190.92	2253.32	2553.33	2430.23
ERMP1	7221.23	7255.54	7780.98	9358.79	6711.21	6563.86	8329.23	9556.56	5955.67	5735.18	7981.95	7445.09
RAB18	2423.98	2511.56	2614.08	2687.56	2576.82	2603.79	2466.79	2814.95	2437.9	2473.71	2366.1	2141.38
NRP1	524.163	602.262	600.262	504.631	530.16	574.383	343.655	320.363	401.004	467.378	471.073	435.059
PRTFDC1	272.409	270.288	135.353	126.395	115.074	90.2351	82.4578	35.083	92.948	95.4955	62.0147	61.9842
PALMD	6.33509	0	2.35397	1.90068	2.05489	8.67645	6.95427	0	15.934	2.75468	1.19259	0
TSPAN15	1016.78	1053.35	1426.5	1358.04	594.89	659.41	831.532	839.222	646.209	651.941	988.658	941.46
MACROH2A2	1622.63	1537.82	1336.57	1416.01	1619.95	1696.31	1252.3	1050.65	1686.36	1730	1235.25	1184.92
WASHC2A	1705.34	1645.44	1685.24	1593.3	1913.18	1858.62	1630.86	1913.77	1994.33	2073.14	1412.7	1281.92
MAST3	233.606	302.545	195.379	222.38	384.265	370.484	191.739	229.886	401.889	342.498	223.014	274.835
MZF1	297.479	304.769	395.467	336.42	421.252	441.906	465.936	453.31	410.742	411.854	509.236	610.485
OCEL1	103.737	56.7271	109.459	125.445	106.854	104.117	124.183	106.172	108.882	115.696	118.066	126.307
MYO9B	1931.4	1888.69	2519.93	2414.83	2364.15	2275.83	1845.88	1889.87	2183.85	2345.14	1852.09	2146.06
KCNK6	316.754	314.78	948.649	822.995	191.105	242.941	398.381	441.308	286.811	269.04	503.273	438.567
CATSPERG	22.1728	30.032	47.0794	32.3116	26.7135	43.3823	50.6669	36.9295	30.9827	27.5468	78.711	70.1708
PSMD8	1398.47	1473.79	1452.4	1476.84	1304.86	1243.33	1305.41	1373.78	1429.64	1212.06	1272.5	1246.7
FBXL19	1054.8	1066.69	1315.86	1208.84	1518.58	1493.21	1097.78	1036.8	1662.45	1737.28	1156.81	1212.79
HSD3B7	168.913	161.974	102.495	105.233	77.5544	53.4237	100.72	104.613	45.7768	88.523	93.4241	130.513
SETD1A	860.774	898.739	863.903	732.709	872.304	850.292	889.153	893.697	873.707	801.608	857.476	928.591
BCL7C	403.07	403.764	343.679	361.129	375.017	370.484	444.08	360.063	385.956	441.667	459.147	452.602
EFNA2	7.12698	10.0107	1.17698	3.80136	15.4117	9.5441	6.95427	12.9253	16.8192	14.6916	20.274	8.18659
CIRBP	2092.96	1641.75	2707.06	2844.36	1801.11	2637.64	3790.08	3381.78	2759.23	2943.82	3943.88	3771.7
ATP5F1D	334.968	282.523	368.396	287.003	303.096	255.088	390.433	364.679	264.681	249.758	370.896	343.837
CBARP	41.1781	45.6042	55.3182	38.964	71.9747	80.691	38.7452	71.0893	70.8176	55.0935	54.8592	69.0012
PCDH11Y	4.6567	0	1.17698	6.0505	18.494	6.94116	18.8759	17.5415	15.0487	3.6729	39.3555	29.2378
PRKY	260.663	290.596	381.619	333.858	396.058	417.591	346.72	357.293	306.877	369.127	363.74	315.768
IGFALS	1.58377	0	0	0.950341	5.13722	0	8.94121	4.61619	1.77044	0.918226	13.1185	7.01708
HNRNPM	7472.34	7328.88	6520.5	6563.04	5973.55	6605.47	4710.01	4667.84	6079.74	6478.94	4387.52	3916.7
MARCHF2	190.845	171.294	176.548	170.111	228.092	194.353	166.902	152.334	190.322	187.318	169.348	187.122
NDUFB7	411.781	443.806	489.625	563.552	413.032	498.028	559.322	497.625	431.102	426.056	424.562	497.043
TECR	1389.76	1455.97	1246.43	1230.69	1077.79	1005.6	1187.2	1332.24	1055.18	1007.29	1376.25	1355.47
TIMM13	578.075	561.711	644.988	638.626	606.19	585.658	676.544	698.892	628.488	605.11	647.568	640.894
CDC34	822.77	814.2	900.39	826.798	1095.26	1029.89	974.59	978.632	1031.28	1097.28	1073.33	1198.75
MTAP	2267.96	2257.96	2598.2	2763.59	2111.39	2005.96	1907.46	1972.01	2160.83	2208.33	2262.32	2152.53
MISP	304.084	354.823	705.013	739.365	143.842	78.9557	424.211	348.984	189.437	186.4	562.903	589.434
CEP170B	1693.06	1694.03	1789.02	1681.15	1678.85	1676.29	1307.4	1484.55	1388.02	1435.2	1369.09	1572.99
POLR2E	1477.66	1329.2	1430.04	1342.83	1252.45	1252.01	1243.82	1209.44	1178.23	1116.56	1132.96	1030.34
POLRMT	681.011	840.897	707.355	731.763	740.786	720.13	651.716	736.744	676.295	650.065	725.066	787.056
HCN2	6.33509	2.22459	0	0.950341	4.10977	1.73529	17.8824	3.69295	0	7.34581	8.34813	5.84756
CDHR5	8.71075	2.22459	2.35397	8.55307	0	2.60294	4.96734	5.53943	2.65566	5.50935	9.54072	17.5427
IZUMO4	26.1322	22.2459	30.6016	29.4606	24.6586	45.9852	31.791	12.9253	9.73742	18.3645	23.8518	36.2549
RASSF7	759.418	811.977	792.112	784.03	685.306	631.645	806.695	814.294	687.815	689.587	852.701	949.644
GADD45B	34.0511	46.7165	181.255	200.522	56.5094	33.8382	157.961	127.407	49.5723	53.2571	177.696	224.547
PALM	143.331	117.903	114.167	85.5307	453.104	360.941	332.811	253.891	409.856	359.027	374.473	431.549
MADCAM1	2.37566	4.44919	2.35397	12.3544	3.08233	2.60294	4.96734	2.76971	1.77044	6.42758	4.77036	9.3561
IGF2-AS	3.95943	0	0	2.85102	34.9331	18.2205	26.8236	30.4668	15.934	25.7103	10.7333	21.0512
MKNK2	3127.2	3260.14	3192.03	3612.23	4349.23	4527.28	2384.3	2854.64	3725.9	3686.65	2996.99	3004.46
ARVCF	371.395	466.052	431.953	326.917	554.82	597.808	347.714	295.436	515.198	590.419	360.162	429.211
TRMT2A	527.282	535.302	499.041	445.394	396.562	467.661	380.268	400.66	437.295	474.802	344.658	424.319
RANBP1	2116.82	1957.35	1464.16	1428.67	1046.98	1185.21	860.572	854.02	1104.76	1234.93	983.885	915.94
ZDHHC8	396.735	478.288	380.166	413.398	551.738	530.999	449.047	463.465	445.265	489.414	478.229	468.975
KLHL22	491.745	492.748	441.369	343.073	378.1	373.087	431.165	418.227	330.187	340.662	344.659	343.837
MED15	1113.39	1141.22	1244.08	1148.96	1025.39	1128.81	945.782	920.471	1146.36	1123.91	1119.84	1088.82
SNAP29	747.54	768.276	709.721	757.422	696.58	687.174	721.258	687.811	722.34	771.308	703.628	692.351
CRKL	3013.92	3003.2	2695.29	2373.95	2670.33	2542.2	2337.63	2688.47	2845.1	2905.27	2482.97	2306.28
LZTR1	841.33	890.555	885.5	813.672	1200.04	1271.03	856.825	966.148	1041.39	1148.07	939.529	1017.97
